title,n_enrolled,Level,language,prices,category,course_duration
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",35720.0,Intermediate,English,49.0,Comunication,10.0
Computing in Python III: Data Structures,27239.0,Introductory,English,99.0,Science,50.0
Introduction to Internet of Things (IoT),6703.0,Introductory,English,49.0,Science,6.0
Nutrition and Health: Food Risks,51493.0,Introductory,English,49.0,Education,56.0
Mechanics: Kinematics and Dynamics,35529.0,Intermediate,English,49.0,Education,132.0
Storytelling for Social Change,30313.0,Introductory,English,49.0,Comunication,10.0
Introduction to Data Analytics for Managers,39113.0,Introductory,English,49.0,Business,18.0
Qualitative Research Methods: Conversational Interviewing,21972.0,Intermediate,English,49.0,Education,6.0
International Project Management,45145.0,Advanced,English,150.0,Business,90.0
Software Development Fundamentals,51402.0,Intermediate,English,149.0,Science,28.0
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",17484.0,Introductory,English,49.0,Education,12.0
Critical Thinking & Problem Solving,6558.0,Introductory,English,199.0,Comunication,15.0
Data Analysis Essentials,42262.0,Introductory,English,79.0,Business,30.0
Master Control in Supply Chain Management and Logistics,31326.0,Introductory,English,49.0,Business,28.0
Work and Employment for a Sustainable Future,6528.0,Intermediate,English,49.0,Business,18.0
Foundations of Data Structures,54075.0,Intermediate,English,149.0,Science,42.0
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",31024.0,Intermediate,English,25.0,Business,54.0
IoT System Design: Software and Hardware Integration,13608.0,Intermediate,English,99.0,Science,20.0
English for Doing Business in Asia – Writing,44252.0,Introductory,English,60.0,Education,28.0
Working in Teams: A Practical Guide,43981.0,Introductory,English,49.0,Education,28.0
Introducción a los encofrados y las cimbras en obra civil y edificación,16029.0,Introductory,Spanish,50.0,Science,8.0
AI Chatbots without Programming,35440.0,Introductory,English,99.0,Science,6.0
Introducción a la Ciencia de Datos y el Big Data,16268.0,Intermediate,Spanish,49.0,Science,16.0
Just Money: Banking as if Society Mattered,25553.0,Introductory,English,49.0,Business,64.0
Introducción a R,6431.0,Introductory,Spanish,49.0,Science,24.0
Computing in Python IV: Objects & Algorithms,28112.0,Introductory,English,99.0,Science,50.0
Adobe Illustrator: aprende a crear presentaciones de impacto,18613.0,Introductory,Spanish,15.0,Business,50.0
Teaching Critical Thinking through Art with the National Gallery of Art,18595.0,Introductory,English,25.0,Education,64.0
Word intermedio: herramientas de formato y productividad,10265.0,Intermediate,Spanish,50.0,Science,24.0
Introducción a las finanzas: Principios de valoración,17344.0,Intermediate,Spanish,49.0,Business,32.0
Aprende a diseñar jardines verticales y cuadros vivos,6341.0,Introductory,Spanish,29.0,Education,8.0
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems",36917.0,Introductory,English,49.0,Education,8.0
Software Engineering: Introduction,35524.0,Advanced,English,125.0,Science,54.0
Structure of Materials,13042.0,Intermediate,English,150.0,Science,112.0
Fundamentos de fotografía documental,13036.0,Introductory,Spanish,49.0,Education,30.0
AP® Italian Language and Culture (2020-2021),39398.0,Advanced,Italian,49.0,Education,72.0
Computer Hardware and Operating Systems,9715.0,Introductory,English,150.0,Science,24.0
Marketing Management,43415.0,Advanced,English,214.0,Business,63.0
You Can Innovate: User  Innovation & Entrepreneurship,18974.0,Introductory,English,49.0,Business,30.0
Analytics in Python,82210.0,Intermediate,English,249.0,Business,108.0
Bases Matemáticas: Álgebra,35811.0,Introductory,Spanish,50.0,Education,16.0
HTML5 Apps and Games,86850.0,Advanced,English,199.0,Science,28.0
MATLAB and Octave for Beginners,68706.0,Introductory,English,139.0,Science,24.0
AP Physics 1,43401.0,Introductory,English,49.0,Education,72.0
The Divine Comedy: Dante's Journey to Freedom,12005.0,Introductory,English,49.0,Education,80.0
Linux Basics: The Command Line Interface,32726.0,Introductory,English,49.0,Science,28.0
Entrepreneurial Operations: Launching a Startup,23808.0,Intermediate,English,149.0,Business,20.0
Maths Essentials,44642.0,Introductory,English,79.0,Business,24.0
"Marketing Analytics: Products, Distribution and Sales",50588.0,Intermediate,English,249.0,Science,24.0
Marketing Innovative Products and Services,6293.0,Introductory,English,149.0,Business,8.0
Just Reading and Writing in English | 生活英语读写,33303.0,Introductory,English,149.0,Education,45.0
Introduction to Java Programming – Part 1,270376.0,Introductory,English,99.0,Science,20.0
Comunicación y Redacción Digital,7165.0,Introductory,Spanish,29.0,Comunication,16.0
Monetary Policy Analysis and Forecasting,6616.0,Advanced,English,25.0,Business,54.0
Basic Analytical Chemistry,19010.0,Introductory,English,49.0,Science,24.0
Identifying Entrepreneurial Opportunities,11922.0,Introductory,English,149.0,Business,8.0
"ChinaX Book Club: Five Authors, Five Books, Five Views of China",5855.0,Introductory,English,139.0,Education,10.0
Astrophysics: Cosmology,83322.0,Intermediate,English,50.0,Education,30.0
Japanese Culture and Language (I) |日语与日本文化（1）,18489.0,Introductory,Chinese,139.0,Education,40.0
COVID-19 Training for Healthcare Workers,5742.0,Introductory,English,10.0,Education,12.0
The Rise of Superheroes and Their Impact On Pop Culture,31368.0,Introductory,English,50.0,Education,12.0
Introduction to Aeronautical Engineering,99971.0,Introductory,English,50.0,Science,77.0
Diseño de Jardines,5683.0,Introductory,Spanish,29.0,Education,8.0
"Introducción al griego clásico: lengua, nombres y mitología",18849.0,Introductory,Spanish,49.0,Education,20.0
Deep Learning Fundamentals with Keras,32140.0,Intermediate,English,99.0,Science,15.0
Existential Well-being Counseling: A Person-centered Experiential Approach,48439.0,Introductory,English,49.0,Education,84.0
Solid Waste Management,7668.0,Introductory,English,5.0,Education,12.0
Retail Fundamentals,37558.0,Intermediate,English,99.0,Business,16.0
Greatest Unsolved Mysteries of the Universe,93965.0,Intermediate,English,50.0,Education,27.0
"Money Markets, Foreign Exchange and Time Value of Money",12230.0,Introductory,English,199.0,Business,8.0
Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,14627.0,Introductory,Spanish,49.0,Comunication,40.0
Designing the User Experience,6416.0,Introductory,English,199.0,Business,8.0
Introduction to Bioconductor,36370.0,Intermediate,English,149.0,Science,12.0
Connected Strategy,10355.0,Intermediate,English,199.0,Business,18.0
Hybrid Vehicles,18294.0,Advanced,English,249.0,Science,90.0
First Nights - Handel's Messiah and Baroque Oratorio,18029.0,Introductory,English,49.0,Education,12.0
Statistical Inference and Modeling for High-throughput Experiments,51590.0,Intermediate,English,149.0,Science,12.0
First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,13300.0,Introductory,English,49.0,Education,12.0
18th-Century Opera: Handel & Mozart,18331.0,Introductory,English,99.0,Education,20.0
Introduction to video game development with Unity,7605.0,Intermediate,English,50.0,Science,24.0
Best Practices for Project Management Success,46610.0,Intermediate,English,150.0,Business,110.0
Fundamentos de la Tecnología Blockchain,5473.0,Introductory,Spanish,49.0,Business,40.0
Información financiera y su análisis,5473.0,Advanced,Spanish,50.0,Business,24.0
Coaching Skills for Learner-Centred Conversations,8089.0,Introductory,English,49.0,Education,8.0
Intellectual Property Law and Policy: Part 1,43993.0,Intermediate,English,169.0,Education,12.0
Robotics,68199.0,Advanced,English,249.0,Science,90.0
La gestion des ressources humaines,6824.0,Introductory,French,99.0,Business,14.0
Writing for Social Justice,9927.0,Introductory,English,50.0,Education,16.0
Steps in Japanese for Beginners1 Part2,8080.0,Introductory,English,99.0,Education,20.0
Case Studies in Functional Genomics,26850.0,Advanced,English,149.0,Science,15.0
Essential Career Skills for Investment Banking and Finance,11655.0,Introductory,English,49.0,Business,8.0
Data Structures and Software Design,30609.0,Intermediate,English,149.0,Science,36.0
Unconscious Bias: From Awareness to Action,26659.0,Introductory,English,49.0,Comunication,6.0
Cybersecurity for Critical Urban Infrastructure,5306.0,Advanced,English,100.0,Science,16.0
"Agile Process, Project, and Program Controls",16339.0,Advanced,English,199.0,Science,8.0
Risk Management in Development Projects,13263.0,Intermediate,English,25.0,Business,20.0
"Pintura europea: Leonardo, Rembrandt, Goya",32635.0,Introductory,Spanish,29.0,Education,14.0
Risk & Return,21970.0,Introductory,English,225.0,Business,16.0
Project Management of Engineering Projects: Preparing for Success,42834.0,Intermediate,English,99.0,Business,50.0
Supply Chain Dynamics,75464.0,Advanced,English,299.0,Business,130.0
AWS Developer: Building on AWS,54249.0,Advanced,English,149.0,Science,24.0
Financial Accounting Made Fun: Eliminating Your Fears,36787.0,Introductory,English,199.0,Business,20.0
PredictionX: John Snow and the Cholera Epidemic of 1854,17713.0,Introductory,English,25.0,Education,4.0
Gestión de operaciones,9512.0,Introductory,Spanish,119.0,Business,36.0
Microeconomics & Business,10962.0,Introductory,English,79.0,Business,112.0
Inteligencia artificial: Chatbots sin programación,5001.0,Introductory,Spanish,49.0,Science,6.0
Diseño e innovación de modelo de negocios,7180.0,Advanced,Spanish,99.0,Business,24.0
Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),29171.0,Introductory,English,5.0,Business,20.0
Business Communication,53209.0,Introductory,English,199.0,Comunication,15.0
Gestão de riscos em projetos,8771.0,Intermediate,Portuguese,25.0,Business,40.0
Vocal Recording Technology,52369.0,Introductory,English,49.0,Science,36.0
Agua 2.0: empresas eficientes para el siglo XXI,53209.0,Introductory,Spanish,25.0,Business,16.0
IoT Sensors and Devices,33072.0,Introductory,English,199.0,Science,25.0
Introducción a las tecnologías para la Educación,31533.0,Introductory,Spanish,49.0,Science,20.0
Fundamentos de la guitarra eléctrica y acústica,13124.0,Introductory,Spanish,49.0,Education,24.0
e-Learning on Digital Agriculture,6238.0,Introductory,English,5.0,Education,10.0
Exploring GraphQL: A Query Language for APIs,9503.0,Introductory,English,149.0,Science,14.0
EmSAT English Preparation - Level 2,7346.0,Intermediate,English,49.0,Education,12.0
The Data Science Method,7868.0,Introductory,English,39.0,Science,35.0
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",21291.0,Introductory,English,49.0,Education,32.0
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",12888.0,Intermediate,English,49.0,Education,16.0
Macroeconomic Diagnostics,23408.0,Intermediate,English,25.0,Business,42.0
BioStatistics,14937.0,Introductory,English,79.0,Education,64.0
Results-Based Project Management: Monitoring and Evaluation,32810.0,Intermediate,English,199.0,Business,32.0
Estrategias y estilos de negociación,12639.0,Introductory,Spanish,149.0,Business,24.0
Políticas efectivas de desarrollo infantil,64387.0,Intermediate,Spanish,25.0,Education,40.0
Alzheimer’s Disease & Dementia Care,5763.0,Intermediate,English,49.0,Education,10.0
Understanding Classroom Interaction,27114.0,Introductory,English,49.0,Education,10.0
Sign Language Science: Emergence and Evolution of Sign Language,8313.0,Introductory,English,99.0,Education,16.0
International Humanitarian Law,31419.0,Advanced,English,150.0,Education,96.0
"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",25111.0,Introductory,Spanish,49.0,Education,24.0
Introduction to Astrophysics,20802.0,Introductory,English,139.0,Education,28.0
Epidemics I,10618.0,Introductory,English,139.0,Education,10.0
Introducción a la genética y la evolución,15297.0,Introductory,Spanish,49.0,Education,6.0
Fundamentals of Macroeconomics,17820.0,Introductory,English,129.0,Business,12.0
"Blockchain and FinTech: Basics, Applications, and Limitations",22011.0,Introductory,English,199.0,Science,24.0
Molecular Biology - Part 2: Transcription and Transposition,18168.0,Advanced,English,99.0,Education,42.0
"One Planet, One Ocean",12166.0,Intermediate,English,49.0,Education,30.0
Reputation Management in a Digital World,39672.0,Intermediate,English,99.0,Comunication,24.0
Google Ads: publicidad efectiva,12084.0,Introductory,Spanish,49.0,Business,15.0
Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,14673.0,Intermediate,Spanish,50.0,Science,16.0
Computer Vision Fundamentals with Watson and OpenCV,7032.0,Introductory,English,99.0,Science,140.0
Japanese Business Management,14852.0,Intermediate,English,129.0,Business,16.0
Introduction to Cloud Computing,53209.0,Introductory,English,49.0,Science,12.0
Fundamentos de logística,7397.0,Introductory,Spanish,29.0,Science,30.0
Sustainable Urban Development,45760.0,Introductory,English,50.0,Education,35.0
Introduction to Biomedical Imaging,56485.0,Introductory,English,99.0,Education,48.0
Introducción a la programación en Java: empezando a programar,23321.0,Introductory,Spanish,49.0,Science,40.0
"Circuits and Electronics 2: Amplification, Speed, and Delay",9665.0,Intermediate,English,169.0,Science,40.0
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083.0,Introductory,English,139.0,Education,30.0
Introduction to DevOps and Site Reliability Engineering,8697.0,Introductory,English,149.0,Science,20.0
SQL aplicado en la  ciencia de datos,53209.0,Introductory,Spanish,39.0,Science,12.0
Sign Language Science: Factors Contributing to Nature Structure,53209.0,Introductory,English,99.0,Education,16.0
Gender and Intersectionality,53209.0,Introductory,English,50.0,Education,24.0
Digital Transformation in Business,10118.0,Advanced,English,214.0,Business,63.0
Designing and Creating Trousers,7544.0,Introductory,English,99.0,Business,20.0
Introducción a la teoría política: conceptos y grandes pensadores,11741.0,Introductory,Spanish,59.0,Education,35.0
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426.0,Intermediate,English,49.0,Education,33.0
Industry 4.0: How to Revolutionize your Business,28404.0,Introductory,English,50.0,Business,42.0
Desafíos y oportunidades en la economía digital,47792.0,Introductory,Spanish,25.0,Business,20.0
Pensamiento crítico: toma de decisiones razonadas,16853.0,Introductory,Spanish,149.0,Business,24.0
"MathTrackX: Polynomials, Functions and Graphs",53209.0,Introductory,English,79.0,Education,16.0
Sustainable Food Security: Crop Production,35367.0,Intermediate,English,49.0,Education,42.0
Network and Security Foundations,7301.0,Introductory,English,300.0,Science,80.0
Cannabis Cultivation and Processing,7419.0,Introductory,English,179.0,Education,24.0
"Data, Models and Decisions in Business Analytics",36289.0,Advanced,English,249.0,Business,108.0
Data Structures Fundamentals,42381.0,Intermediate,English,99.0,Science,54.0
Shaping Work of the Future,22246.0,Introductory,English,49.0,Business,32.0
Introducción a la robótica e industria 4.0,7056.0,Introductory,Spanish,49.0,Science,12.0
Fighting for Equality: 1950–2018,9274.0,Intermediate,English,50.0,Education,20.0
"Design Thinking: Ideation, Iteration and Communication",14629.0,Intermediate,English,299.0,Business,60.0
Negotiation Strategies and Styles,53209.0,Intermediate,English,149.0,Business,24.0
Crear música con tecnología,10961.0,Introductory,Spanish,49.0,Education,24.0
Análisis de datos: Diseño y Visualización de Tableros,18368.0,Intermediate,Spanish,49.0,Science,40.0
Comunicación estratégica: gestión de crisis e imagen pública,7017.0,Introductory,Spanish,49.0,Comunication,12.0
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052.0,Intermediate,English,199.0,Business,8.0
Unlocking Information Security: Part II,6426.0,Intermediate,English,149.0,Science,30.0
Human Rights Defenders,27338.0,Introductory,English,49.0,Education,16.0
Product Design: The Delft Design Approach,87539.0,Intermediate,English,79.0,Business,49.0
Introduction to Psychology | 心理学概论,30731.0,Introductory,Chinese,139.0,Education,52.0
Circuits and Electronics 3: Applications,9347.0,Intermediate,English,169.0,Science,63.0
Vaccines: from smallpox to technologies of the future,6166.0,Intermediate,English,49.0,Education,24.0
Le management,6273.0,Introductory,French,149.0,Business,10.0
Circular Economy for a Sustainable Built Environment,8032.0,Intermediate,English,50.0,Education,24.0
Agile Innovation and Problem Solving Skills,12667.0,Advanced,English,199.0,Science,8.0
International Investment Law,23335.0,Advanced,English,150.0,Education,70.0
Animation and CGI Motion,36827.0,Advanced,English,249.0,Science,108.0
Terrorism and Counterterrorism,28580.0,Introductory,English,49.0,Education,63.0
Découvrir le marketing,30030.0,Intermediate,French,150.0,Business,40.0
Solar Energy: Photovoltaic (PV) Energy Conversion,38041.0,Advanced,English,250.0,Science,120.0
Introduction to Actuarial Science,52667.0,Introductory,English,49.0,Science,24.0
PredictionX: Lost Without Longitude,9114.0,Introductory,English,49.0,Education,4.0
Information Technology Foundations,6388.0,Introductory,English,400.0,Science,60.0
Introducción a la Inteligencia Artificial de Watson,53209.0,Introductory,Spanish,49.0,Science,48.0
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013.0,Intermediate,English,125.0,Business,20.0
Instructional Design and Technology: Learning Theories,21296.0,Intermediate,English,299.0,Education,72.0
"Algorithms: Design and Analysis, Part 2",53209.0,Intermediate,English,149.0,Science,18.0
The Math of Data Science: Linear Algebra,6746.0,Intermediate,English,159.0,Education,56.0
Introducción al quirófano,53209.0,Intermediate,Spanish,49.0,Education,24.0
The Hardware of a Quantum Computer,20052.0,Intermediate,English,79.0,Education,42.0
Grabar y mezclar música,10856.0,Introductory,Spanish,49.0,Education,16.0
Leadership focused on Human Flourishing,53209.0,Intermediate,English,149.0,Business,24.0
Automata Theory,53209.0,Advanced,English,129.0,Science,56.0
¡Conceptos básicos de Python para Data Science!,53209.0,Introductory,Spanish,49.0,Science,20.0
Herramientas para el Análisis de Big Data,8118.0,Intermediate,Spanish,49.0,Science,16.0
Foundations of Central Bank Law,6169.0,Intermediate,English,25.0,Education,24.0
C Programming: Modular Programming and Memory Management,18690.0,Introductory,English,49.0,Science,21.0
Enseñanza temprana de matemáticas y ciencias,8250.0,Introductory,Spanish,25.0,Education,20.0
Entrepreneurship 102: What can you do for your customer?,11275.0,Introductory,English,49.0,Business,30.0
Italian Language and Culture: Advanced (2019-2020),24667.0,Advanced,Italian,49.0,Education,48.0
Introduction to Marketing,53209.0,Introductory,English,149.0,Business,12.0
Origins of the Human Mind,11812.0,Introductory,English,49.0,Science,10.0
Introduction to Geometry,61824.0,Introductory,English,50.0,Education,70.0
The Future of Work: Preparing for Disruption,43125.0,Introductory,English,5.0,Business,20.0
Clinical Reasoning Process,5367.0,Introductory,English,149.0,Education,18.0
Datos para la efectividad de las políticas públicas,80425.0,Introductory,Spanish,25.0,Science,40.0
Media Law,7253.0,Introductory,English,249.0,Education,126.0
Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826.0,Intermediate,Spanish,25.0,Education,40.0
"Diseña, fabrica y programa tu propio robot",25024.0,Introductory,Spanish,75.0,Science,54.0
Pivoting to Online Teaching: Research and Practitioner Perspectives,5289.0,Introductory,English,139.0,Education,24.0
Circular Economy: An Interdisciplinary Approach,10281.0,Advanced,English,149.0,Business,120.0
Calculus 1B: Integration,44669.0,Intermediate,English,100.0,Education,120.0
Algorithmic Design and Techniques,40620.0,Intermediate,English,99.0,Science,54.0
Drinking Water Treatment,51918.0,Intermediate,English,50.0,Science,49.0
Fundamentos de información financiera y contable,7789.0,Intermediate,Spanish,49.0,Business,30.0
Les principes de la finance,44037.0,Intermediate,French,150.0,Business,78.0
Music Technology Foundations,34550.0,Introductory,English,169.0,Science,12.0
The Entrepreneurial Mindset,31077.0,Introductory,English,149.0,Business,30.0
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453.0,Introductory,English,49.0,Education,10.0
Risk Management and Credit Principles,9028.0,Advanced,English,199.0,Business,12.0
Steps in Japanese for Beginners1 Part3,6169.0,Introductory,English,99.0,Education,20.0
Structural Materials: Selection and Economics,9752.0,Introductory,English,50.0,Science,6.0
Algorithm Design and Analysis,39137.0,Intermediate,English,149.0,Science,28.0
Estructuras de Datos con Python,53209.0,Introductory,Spanish,49.0,Science,21.0
Mandarin Chinese for Business,12384.0,Intermediate,English,149.0,Education,42.0
Bases Matemáticas: Números y terminología,26060.0,Intermediate,Spanish,50.0,Education,16.0
Arab-Islamic History: From Tribes to Empires,17321.0,Introductory,English,149.0,Education,32.0
Human-Computer Interaction I: Fundamentals & Design Principles,9010.0,Introductory,English,99.0,Science,36.0
Modeling and simulation of multibody systems,53209.0,Intermediate,English,50.0,Science,140.0
The Science of Parenting,37538.0,Introductory,English,49.0,Education,20.0
Inclusive Teaching: Supporting All Students in the College Classroom,9899.0,Introductory,English,49.0,Education,12.0
Analytics for Decision Making,31031.0,Introductory,English,249.0,Business,20.0
Principios de Análisis e Instrumentos Financieros,53209.0,Intermediate,Spanish,49.0,Business,30.0
Energy Principles and Renewable Energy,19520.0,Advanced,English,375.0,Science,154.0
DNA: Biology’s Genetic Code,35162.0,Intermediate,English,169.0,Education,30.0
Music For Wellness,19728.0,Introductory,English,49.0,Education,16.0
Mining Massive Datasets,5311.0,Advanced,English,149.0,Science,56.0
Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,25041.0,Introductory,English,50.0,Science,8.0
A travel by Spanish America: Spanish for beginners,53209.0,Introductory,Spanish,49.0,Education,20.0
Introducción a la Inteligencia Artificial,11184.0,Introductory,Spanish,49.0,Science,16.0
Introducción a la Inteligencia Artificial: Principales Algoritmos,53209.0,Introductory,Spanish,49.0,Science,16.0
Digital Security and Human Rights,11443.0,Introductory,English,49.0,Education,6.0
Critical thinking: reasoned decision making,6923.0,Introductory,English,149.0,Business,24.0
Introduction to the Internet of Things,7581.0,Introductory,English,50.0,Science,36.0
Trading - Fundamentals of Technical Analysis,53209.0,Introductory,English,199.0,Business,12.0
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,20261.0,Introductory,Spanish,49.0,Education,24.0
Design Thinking: Empathizing to Understand the Problem,13340.0,Intermediate,English,299.0,Business,60.0
Storytelling in the Workplace,53209.0,Introductory,English,199.0,Comunication,15.0
Marketing Analytics: Price and Promotion Analytics,41021.0,Intermediate,English,249.0,Science,24.0
Implementation of Data Structures,27761.0,Intermediate,English,149.0,Science,42.0
Activism and Citizen Journalism through Media,7460.0,Introductory,English,49.0,Comunication,8.0
Electric and Conventional Vehicles,22089.0,Advanced,English,249.0,Science,90.0
Big Data Fundamentals,40106.0,Intermediate,English,199.0,Science,90.0
Sustainable Food Security: The value of systems thinking,26600.0,Introductory,English,49.0,Education,54.0
Knowledge Management and Big Data in Business,69064.0,Introductory,English,50.0,Business,56.0
Uso efectivo del tiempo,6409.0,Introductory,Spanish,49.0,Business,42.0
C Programming: Pointers and Memory Management,19171.0,Introductory,English,49.0,Science,21.0
Astrophysics: The Violent Universe,65711.0,Intermediate,English,50.0,Education,30.0
Landscape Ecology,8644.0,Intermediate,English,50.0,Education,42.0
IoT Programming and Big Data,21591.0,Introductory,English,199.0,Science,25.0
AWS: Getting Started with Cloud Security,8192.0,Introductory,English,49.0,Science,12.0
Introducción a la gravedad cuántica de lazos,7360.0,Introductory,Spanish,50.0,Science,30.0
Introduction to the Music Business,46607.0,Introductory,English,49.0,Business,18.0
Introducción a la programación en C: Tipos de datos y estructuras,13480.0,Introductory,Spanish,49.0,Science,12.0
Visualización de Datos y Storytelling,5980.0,Intermediate,Spanish,49.0,Science,16.0
Negociación exitosa: Estrategias y habilidades esenciales (en español),53209.0,Introductory,Spanish,49.0,Business,21.0
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488.0,Intermediate,English,49.0,Education,28.0
Macroeconomics - The Basics,53209.0,Introductory,English,79.0,Business,112.0
Fundamentals of Financial Mathematics and Capital Budgeting,5410.0,Introductory,English,99.0,Business,8.0
Gestión participativa: motivación y liderazgo organizacional,23441.0,Intermediate,Spanish,79.0,Business,32.0
Herramientas de ciencia de datos: uso práctico,53209.0,Introductory,Spanish,39.0,Science,35.0
Bienestar para el desarrollo personal y profesional,53209.0,Intermediate,Spanish,29.0,Health & Safety,30.0
Energía eléctrica: conceptos y principios básicos,9762.0,Intermediate,Spanish,49.0,Science,28.0
Market Segmentation Analysis,17055.0,Intermediate,English,99.0,Business,35.0
Pensamento crítico: tomada de decisões fundamentadas,53209.0,Introductory,Portuguese,149.0,Business,24.0
AP® English Literature & Composition – Part 2: Poems,5719.0,Introductory,English,49.0,Education,28.0
"Electrical, Optical & Magnetic Materials and Devices",16905.0,Intermediate,English,150.0,Science,160.0
Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),53209.0,Introductory,English,99.0,Education,8.0
How to Design a Successful Business Model,33656.0,Introductory,English,99.0,Business,24.0
Ecodesign for Cities and Suburbs,28472.0,Introductory,English,99.0,Education,24.0
Agile Software Development,37158.0,Introductory,English,50.0,Science,12.0
Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144.0,Intermediate,Spanish,49.0,Science,32.0
Essentials of Program Strategy and Evaluation,53209.0,Introductory,English,50.0,Business,32.0
Gestão de Projetos de Desenvolvimento,28337.0,Introductory,Portuguese,49.0,Business,40.0
Innovation: From Plan to Product,12918.0,Intermediate,English,249.0,Business,90.0
Introduction to Database Queries,53209.0,Introductory,English,166.0,Science,35.0
Climate Change: Carbon Capture and Storage,10551.0,Introductory,English,49.0,Science,10.0
Reservoir Geomechanics,5280.0,Introductory,English,129.0,Science,40.0
Fundamentos de administración estratégica,53209.0,Intermediate,Spanish,49.0,Business,30.0
IoT System Architecture: Design and Evaluation,5914.0,Introductory,English,99.0,Science,12.0
Noongar Language and Culture,10858.0,Introductory,English,139.0,Education,12.0
Sorting Truth From Fiction: Civic Online Reasoning,53209.0,Introductory,English,49.0,Education,12.0
Sustainable Food Security: Food Access,18943.0,Introductory,English,49.0,Education,42.0
Bases Matemáticas: Integrales,23703.0,Introductory,Spanish,50.0,Education,20.0
Epidemics II,8565.0,Introductory,English,139.0,Education,6.0
Derechos humanos: Los derechos de las personas refugiadas,28398.0,Introductory,Spanish,49.0,Education,12.0
Sign Language Science: Factors Contributing to Natural Learning,53209.0,Introductory,English,99.0,Education,16.0
Big Data Analytics,43009.0,Intermediate,English,199.0,Science,90.0
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",6594.0,Intermediate,English,49.0,Education,21.0
ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,16028.0,Introductory,Spanish,25.0,Education,24.0
Achieving Product-Market Fit,53209.0,Introductory,English,199.0,Business,8.0
Culture and Law: The East Asian Perspective,53209.0,Introductory,English,49.0,Education,15.0
Fundamentals of Market Structure,32049.0,Introductory,English,25.0,Business,2.0
Protecting Children in Humanitarian Settings,7246.0,Intermediate,English,50.0,Education,48.0
How to Achieve the Sustainable Development Goals,12719.0,Intermediate,English,49.0,Education,35.0
Aprendizaje y Enseñanza en la Era Digital,16954.0,Intermediate,Spanish,49.0,Education,16.0
From Atoms to Stars: How Physics Explains Our World,15914.0,Intermediate,English,49.0,Education,8.0
The Threat of Nuclear Terrorism,53209.0,Introductory,English,50.0,Education,15.0
Introducción a Matemáticas para Finanzas y Negocios,53209.0,Advanced,Spanish,50.0,Business,30.0
Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),53209.0,Intermediate,Spanish,75.0,Science,28.0
Liderazgo inclusivo,53209.0,Intermediate,Spanish,29.0,Business,20.0
مساق اللّغة العربيّة,53209.0,Introductory,Arabic,49.0,Education,32.0
"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",8330.0,Intermediate,English,79.0,Education,42.0
Contemporary Issues in World Politics,11426.0,Introductory,English,59.0,Education,35.0
More Fun with Prime Numbers,10604.0,Intermediate,English,49.0,Education,10.0
Enterprise Selling,5020.0,Introductory,English,149.0,Business,30.0
Climate Change: Financial Risks and Opportunities,9977.0,Intermediate,English,79.0,Business,24.0
Caer o No caer. El Secreto de las Estructuras.,20939.0,Introductory,Spanish,29.0,Science,16.0
Mandarin Chinese Level 2,8784.0,Introductory,English,149.0,Education,42.0
Design Thinking: Prototyping and User Testing,10769.0,Intermediate,English,299.0,Business,60.0
Bases Matemáticas: Derivadas,24301.0,Introductory,Spanish,50.0,Education,20.0
Buscar en Internet,27320.0,Introductory,Spanish,49.0,Science,28.0
Big Data and Education,14909.0,Advanced,English,169.0,Science,72.0
Model-Based Automotive Systems Engineering,13857.0,Advanced,English,249.0,Science,105.0
Introduction to Hyperledger Blockchain Technologies,138884.0,Introductory,English,199.0,Business,56.0
MathTrackX: Integral Calculus,53209.0,Introductory,English,79.0,Education,16.0
Solar Energy Engineering: Comprehensive Exams,53209.0,Advanced,English,250.0,Science,40.0
