course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,Paid,95,367,42,35,All Levels,5.0,2017-06-21,Business Finance,English,4.234613666815543
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,Paid,200,10603,872,42,All Levels,5.5,2014-10-12,Business Finance,English,4.4
1214702,Three Steps Trading - Live Trading - Real Account,Paid,190,1197,11,46,All Levels,5.0,2017-05-24,Business Finance,English,3.7
848664,Option Trading for Rookies:  Understand Options Completely,Paid,150,2893,65,62,All Levels,2.0,2016-08-10,Business Finance,English,4.7
1142570,How I Learned Stock Trading (and How You Can Too),Paid,200,1580,12,53,Expert,2.0,2017-05-02,Business Finance,English,3.9
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,Paid,95,10605,71,77,All Levels,3.0,2014-10-24,Business Finance,English,4.5
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Paid,125,2996,200,23,Intermediate,2.0,2015-03-09,Business Finance,English,4.6
885974,Four Fundamentals of Financial Planning,Paid,30,6219,23,20,All Levels,1.0,2017-02-14,Business Finance,English,3.8
1151092,Options Trading - Calendar Spread Course for Every Trader,Paid,200,1113,11,17,All Levels,1.5,2017-04-02,Business Finance,English,3.8
358326,Dividend Investing: Build Your Portfolio for a Better Future,Paid,60,8314,83,47,Beginner,4.0,2015-01-24,Business Finance,English,4.234613666815543
153210,Learn Accounting. Understand Business.,Paid,200,5572,123,33,Beginner,5.5,2014-03-27,Business Finance,English,4.5
834836,How to Consistently Win Trading Stocks in 30 Days or Less,Paid,145,1433,169,15,Intermediate,1.0,2016-05-09,Business Finance,English,3.9
1171994,A Beginner's Guide to Quantopian Futures API,Paid,20,936,6,11,Intermediate,1.5,2017-04-11,Business Finance,English,4.234613666815543
1239068,How to Buy Cheap Options - Options Trading Pricing Model,Paid,200,658,2,19,All Levels,1.0,2017-06-02,Business Finance,English,4.9
985922,Excel Crash Course: Master Excel for Financial Analysis,Paid,105,8121,689,40,All Levels,3.5,2016-10-18,Business Finance,English,4.6
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",Paid,60,4187,600,79,Beginner,9.0,2016-02-29,Business Finance,English,4.5
165964,Stock Trading Ninja: Complete System For Trading Success,Paid,155,9445,497,38,All Levels,4.5,2014-02-19,Business Finance,English,4.234613666815543
855172,Hedge and Mutual Fund Careers: The Complete Guide,Paid,200,3255,340,102,All Levels,8.5,2016-06-20,Business Finance,English,4.6
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,Paid,185,7941,713,40,All Levels,6.5,2014-08-11,Business Finance,English,4.5
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,Paid,150,1680,158,76,All Levels,5.5,2016-11-26,Business Finance,English,4.6
43319,Options Trading Basics (3-Course Bundle),Paid,180,10100,985,45,Beginner,11.0,2013-02-25,Business Finance,English,4.5
408440,How to Win 97% of Your Options Trades,Paid,125,5050,461,26,All Levels,1.5,2015-02-10,Business Finance,English,4.4
918688,How I Make Consistent Returns Trading Options,Paid,200,2310,162,26,All Levels,3.5,2016-10-05,Business Finance,English,4.7
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",Paid,185,5528,506,32,All Levels,3.0,2015-02-19,Business Finance,English,4.4
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",Paid,125,6451,237,28,All Levels,5.0,2014-04-16,Business Finance,English,4.234613666815543
401784,Options Trading Introduction: Day Trade Stock Options,Paid,95,12394,218,30,Beginner,2.5,2015-02-20,Business Finance,English,3.9
1122792,The Almost Perfect Options Trading Strategy System - Unique,Paid,200,1793,18,15,All Levels,1.0,2017-03-03,Business Finance,English,4.1
709500,Forex Trading -  Learn to Trade Forex Like the Banks,Paid,20,3223,240,23,All Levels,1.0,2016-03-30,Business Finance,English,4.2
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,Paid,60,16385,273,45,Beginner,3.0,2014-09-02,Business Finance,English,4.6
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,Paid,200,1487,16,18,All Levels,2.0,2017-03-08,Business Finance,English,4.6
834558,What Finance Job is for You? Explanation of 14 Finance Roles,Paid,200,2951,232,60,All Levels,4.0,2016-05-04,Business Finance,English,4.9
551968,The Blueprint for Successful Stock Trading,Paid,120,2697,331,15,All Levels,1.0,2015-08-13,Business Finance,English,4.7
1005658,Trading for Beginners - Intermediate Level,Paid,150,3979,40,39,Beginner,5.0,2016-11-09,Business Finance,English,3.8
746432,Start Trading Stocks Using Technical Analysis!,Paid,25,3190,244,45,All Levels,4.0,2016-02-03,Business Finance,English,4.6
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Paid,200,1406,71,54,Expert,1.5,2017-01-18,Business Finance,English,4.5
284118,VPS for Forex Trading - Protect Your Forex Robots,Paid,160,4252,225,24,All Levels,2.0,2014-09-19,Business Finance,English,4.9
302562,Introduction to Accounting: The Language of Business,Paid,20,11958,370,134,Beginner,11.5,2014-10-02,Business Finance,English,4.8
596598,Basic Excel for Basic Bookkeeping and Accounting,Paid,95,7743,340,33,Beginner,1.5,2015-09-10,Business Finance,English,4.6
860890,"Using 'The Greeks To Understand Options""",Paid,50,2134,55,5,All Levels,1.0,2016-07-13,Business Finance,English,4.1
951050,Trading Options For Consistent Returns: Calendar Spreads,Paid,200,1214,69,20,All Levels,1.5,2016-10-07,Business Finance,English,4.3
796450,How to Create Your Personal Budget,Paid,20,3870,53,10,All Levels,1.0,2016-03-21,Business Finance,English,4.234613666815543
502772,The Complete Value Investing Course: A Proven Approach,Paid,200,2146,212,49,All Levels,4.5,2015-06-16,Business Finance,English,3.9
1102462,FOREX Trading with Price Action,Paid,195,484,57,19,Beginner,1.0,2017-03-14,Business Finance,English,4.4
1062092,Emini ES Futures - Advanced Non Directional Options Trading,Paid,200,1057,15,14,All Levels,1.5,2017-01-11,Business Finance,English,3.7
891484,Forex Trading - Advanced Fundamental Analysis,Paid,20,1754,100,49,Intermediate,2.5,2016-06-30,Business Finance,English,3.6
1217064,How To Invest With Tiny Capital In Stocks ?,Paid,20,1239,5,6,Beginner,0.7,2017-05-23,Business Finance,English,3.4
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,Paid,95,2493,276,108,All Levels,9.5,2015-01-31,Business Finance,English,4.1
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Paid,150,2602,402,57,Beginner,5.0,2015-10-28,Business Finance,English,4.7
474928,Intermediate Options trading concepts for Stocks and Options,Paid,40,2000,30,9,All Levels,1.0,2015-04-13,Business Finance,English,4.5
1148774,Options Trading 101: The Basics,Free,0,1514,66,11,Beginner,0.55,2017-03-23,Business Finance,English,4.5
959144,Practical Accounts APP Overview,Paid,20,1361,1,14,Intermediate,3.0,2016-10-04,Business Finance,English,4.234613666815543
1233350,Bitcoin Profits for Beginners,Paid,100,61,18,30,Beginner,1.5,2017-06-09,Business Finance,English,4.234613666815543
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,Paid,75,1513,31,60,All Levels,5.5,2015-08-04,Business Finance,English,4.234613666815543
724062,Financial Statements Basics,Paid,20,1374,19,9,Beginner,2.0,2016-01-14,Business Finance,English,3.8
474212,High performance Stock Trading using key Options techniques,Paid,40,2103,15,6,All Levels,1.5,2015-04-12,Business Finance,English,4.7
771276,Introduction to Financial Statement Analysis,Paid,20,1480,25,25,Beginner,1.5,2016-03-21,Business Finance,English,4.234613666815543
388164,Basics of Economics (College Level),Paid,25,2516,12,20,All Levels,1.5,2015-01-08,Business Finance,English,4.6
133536,Stock Market Investing for Beginners,Free,0,50855,2698,15,Beginner,1.5,2013-12-25,Business Finance,English,4.4
655300,Accounting for Beginners : Learn Basics in under 1 Hour,Paid,50,1971,13,20,Beginner,1.5,2015-12-03,Business Finance,English,3.4
949504,Straddle Options Trading - Profit in Any Market Direction,Paid,200,837,9,19,All Levels,1.0,2016-10-03,Business Finance,English,4.1
265960,Fundamentals of Forex Trading,Free,0,17160,620,23,All Levels,1.0,2014-08-29,Business Finance,English,4.234613666815543
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",Paid,195,1723,38,24,Beginner,1.0,2015-12-14,Business Finance,English,3.8
923616,Website Investing 101 - Buying & Selling Online Businesses,Free,0,6811,151,51,All Levels,2.0,2016-08-05,Business Finance,German,4.234613666815543
741898,Practical Accounts & Bookkeeping Automated Overview ,Paid,20,2060,17,30,All Levels,4.5,2016-01-28,Business Finance,English,4.234613666815543
